roll,pitch,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
4.0495170046553115,-4.133057729279426,119.0129299869174,689,1439,16740,-3,-1,2,50.125,202.875,-873.125
4.062864538357121,-4.134399922835501,118.87375888513438,712,1451,16759,-1,0,0,48.0,201.125,-871.375
4.077782335894459,-4.085321723591719,118.74759718580475,698,1432,16764,-1,-2,0,53.0,204.5,-873.125
4.083945070837938,-4.078457540805344,118.61948928902228,726,1433,16754,-2,1,1,50.875,202.625,-871.75
4.09313468288691,-4.062856654658402,118.48818461235936,693,1439,16742,0,-1,2,50.125,203.875,-869.75
4.110081461779973,-4.037352872268863,118.3596492184172,700,1441,16748,0,-1,0,51.625,204.25,-869.25
4.101880164990165,-4.040989813699435,118.22203538303204,692,1428,16729,-1,0,0,49.0,204.875,-868.75
4.097151441381751,-4.042704316621185,118.08859795136838,710,1419,16739,0,-1,-1,49.625,205.375,-871.875
4.113205411267753,-4.014054659752509,117.9640434954451,696,1432,16745,1,-1,0,49.0,202.25,-872.5
4.1033346866666,-4.006573696224381,117.83299486466673,692,1409,16752,2,-1,-1,48.0,203.75,-872.25
4.132043464111408,-3.9506897124341123,117.72076819772303,696,1432,16748,-1,-2,-1,49.375,197.875,-871.875
4.1402751269615345,-3.955614950995617,117.59629240391429,711,1433,16749,0,0,1,49.375,204.5,-873.75
4.164802543268542,-3.921962160422203,117.47795829174092,689,1441,16742,1,-1,0,50.0,202.625,-871.25
4.158650086938996,-3.946899968267016,117.34568028753904,691,1434,16744,0,-2,1,46.375,204.25,-872.625
4.171240684219613,-3.925408541029125,117.22764104785502,698,1435,16743,-1,0,1,49.0,203.75,-871.875
4.188945411471259,-3.8759349988739813,117.11979582197644,692,1424,16752,2,0,1,51.125,203.625,-874.625
4.193308727083795,-3.884087563204052,116.99828143560558,703,1434,16738,0,0,1,48.625,204.25,-867.75
4.205692503402953,-3.891433005965531,116.87886332244148,709,1447,16755,-1,0,2,48.375,205.25,-872.375
4.204362714413708,-3.892512909850531,116.75872218547964,692,1429,16742,1,-1,2,47.125,205.5,-875.25
4.214454331304217,-3.8405347404172754,116.65576548531753,689,1421,16754,-1,-1,2,50.25,203.125,-868.75
4.236657307845926,-3.7953071834640477,116.55600485613047,698,1432,16732,-1,0,2,51.75,204.5,-876.125
4.257305419556264,-3.757790095363747,116.45328175452542,675,1443,16747,0,0,2,48.0,198.75,-873.625
4.264370924222752,-3.744977182915885,116.35135320182202,704,1428,16745,0,1,2,50.125,202.125,-873.5
4.285651626469489,-3.7074003181347885,116.2571498806707,695,1436,16749,0,-1,2,51.25,200.375,-871.25
4.2896041898678545,-3.714373211744189,116.15159304951118,704,1437,16761,0,1,2,49.875,203.375,-871.875
4.29563738014811,-3.7165600343445817,116.04645589171405,704,1443,16764,-3,-1,1,49.375,202.375,-870.5
4.299488518522198,-3.7202641123424183,115.94067274697933,704,1439,16773,-1,-1,1,49.125,203.75,-873.25
4.321334670913693,-3.680037742562924,115.85308706205457,715,1432,16744,0,0,1,51.5,200.25,-872.5
4.3245843681071365,-3.673525166786559,115.74941711544567,700,1437,16757,-1,2,0,50.75,205.625,-872.5
4.351518953215879,-3.6528102464659415,115.65752663054451,712,1450,16739,0,-1,1,51.125,201.75,-873.125
4.350230623529218,-3.6508255066885016,115.56004619215315,702,1432,16762,0,-2,1,49.125,201.25,-871.25
4.359927120281511,-3.5969735918835903,115.48118977730644,694,1421,16752,0,-1,3,52.375,200.375,-869.875
4.356894697154272,-3.5902561821508,115.38618143197306,690,1431,16761,-1,1,2,50.375,203.25,-870.5
